eu_rank,ime_uni,mesto,drzava,svetovni_rank,drzavni_rank,uni_url,velikost,selektivnost,leto_ustanovitve,cena_solanja,zgornja_meja_cene
1,University of Oxford,Oxford,United Kingdom,9,1,https://www.unirank.org/gb/uni/university-of-oxford/,large-sized,very selective,1096,public,
2,University of Cambridge,Cambridge,United Kingdom,16,2,https://www.unirank.org/gb/uni/university-of-cambridge/,large-sized,extremely selective,1209,public,
3,University College London,London,United Kingdom,41,3,https://www.unirank.org/gb/uni/university-college-london/,very large-sized,not reported,1826,public,
4,Eidgenössische Technische Hochschule Zürich,Zürich,Switzerland,45,1,https://www.unirank.org/ch/uni/eidgenossische-technische-hochschule-zurich/,large-sized,not reported,1855,public,
5,University of Edinburgh,Edinburgh,United Kingdom,50,4,https://www.unirank.org/gb/uni/university-of-edinburgh/,very large-sized,not reported,1583,public,
6,Ludwig-Maximilians-Universität München,Munich,Germany,71,1,https://www.unirank.org/de/uni/ludwig-maximilians-universitat-munchen/,very large-sized,not reported,1472,public,
7,The London School of Economics and Political Science,London,United Kingdom,73,5,https://www.unirank.org/gb/uni/the-london-school-of-economics-and-political-science/,large-sized,not reported,1895,public,
8,Universität Wien,Vienna,Austria,82,1,https://www.unirank.org/at/uni/universitat-wien/,very large-sized,not available,1365,public,
9,Katholieke Universiteit Leuven,Leuven,Belgium,93,1,https://www.unirank.org/be/uni/katholieke-universiteit-leuven/,very large-sized,not reported,1425,public,
10,Alma Mater Studiorum Università di Bologna,Bologna,Italy,96,1,https://www.unirank.org/it/uni/alma-mater-studiorum-universita-di-bologna/,very large-sized,averagely selective,1088,public,
11,University of Manchester,Manchester,United Kingdom,97,6,https://www.unirank.org/gb/uni/university-of-manchester/,very large-sized,not reported,1824,public,
12,University of Glasgow,Glasgow,United Kingdom,103,7,https://www.unirank.org/gb/uni/university-of-glasgow/,large-sized,not reported,1451,public,
13,Imperial College London,London,United Kingdom,105,8,https://www.unirank.org/gb/uni/imperial-college-london/,large-sized,not reported,1907,public,
14,Technische Universität München,Munich,Germany,106,2,https://www.unirank.org/de/uni/technische-universitat-munchen/,very large-sized,not available,1868,public,
15,University of Southampton,Southampton,United Kingdom,109,9,https://www.unirank.org/gb/uni/university-of-southampton/,large-sized,not reported,1952,public,
16,Ruprecht-Karls-Universität Heidelberg,Heidelberg,Germany,110,3,https://www.unirank.org/de/uni/ruprecht-karls-universitat-heidelberg/,very large-sized,not reported,1386,public,
17,King's College London,London,United Kingdom,115,10,https://www.unirank.org/gb/uni/king-s-college-london/,large-sized,not reported,1829,public,
18,Freie Universität Berlin,Berlin,Germany,117,4,https://www.unirank.org/de/uni/freie-universitat-berlin/,large-sized,not reported,1948,public,
19,Helsingin yliopisto,Helsinki,Finland,119,1,https://www.unirank.org/fi/uni/helsingin-yliopisto/,large-sized,extremely selective,1640,public,
20,Universiteit Utrecht,Utrecht,Netherlands,121,1,https://www.unirank.org/nl/uni/universiteit-utrecht/,very large-sized,not reported,1636,public,
21,University of Warwick,Coventry,United Kingdom,122,11,https://www.unirank.org/gb/uni/university-of-warwick/,large-sized,not reported,1965,public,
22,Universiteit van Amsterdam,Amsterdam,Netherlands,123,2,https://www.unirank.org/nl/uni/universiteit-van-amsterdam/,large-sized,not reported,1632,public,
23,Universidad de Barcelona,Barcelona,Spain,125,1,https://www.unirank.org/es/uni/universidad-de-barcelona/,very large-sized,moderately selective,1450,public,
24,University of Birmingham,Birmingham,United Kingdom,126,12,https://www.unirank.org/gb/uni/university-of-birmingham/,very large-sized,not reported,1900,public,
25,Universitetet i Oslo,Oslo,Norway,128,1,https://www.unirank.org/no/uni/universitetet-i-oslo/,large-sized,not reported,1811,public,
26,Universiteit Leiden,Leiden,Netherlands,129,3,https://www.unirank.org/nl/uni/universiteit-leiden/,very large-sized,not reported,1575,public,
27,Friedrich-Alexander-Universität Erlangen-Nürnberg,Erlangen,Germany,132,5,https://www.unirank.org/de/uni/friedrich-alexander-universitat-erlangen-nurnberg/,very large-sized,averagely selective,1743,public,
28,École Polytechnique Fédérale de Lausanne,Lausanne,Switzerland,134,2,https://www.unirank.org/ch/uni/ecole-polytechnique-federale-de-lausanne/,large-sized,not reported,1969,public,
29,Technische Universiteit Delft,Delft,Netherlands,136,4,https://www.unirank.org/nl/uni/technische-universiteit-delft/,large-sized,moderately selective,1842,public,
30,Rheinisch-Westfälische Technische Hochschule Aachen,Aachen,Germany,137,6,https://www.unirank.org/de/uni/rheinisch-westfalische-technische-hochschule-aachen/,very large-sized,not reported,1870,public,
31,Rijksuniversiteit Groningen,Groningen,Netherlands,139,5,https://www.unirank.org/nl/uni/rijksuniversiteit-groningen/,very large-sized,not reported,1614,public,
32,University of Leeds,Leeds,United Kingdom,141,13,https://www.unirank.org/gb/uni/university-of-leeds/,very large-sized,not reported,1904,public,
33,Universität Hamburg,Hamburg,Germany,142,7,https://www.unirank.org/de/uni/universitat-hamburg/,very large-sized,not reported,1919,public,
34,Københavns Universitet,Copenhagen,Denmark,144,1,https://www.unirank.org/dk/uni/kobenhavns-universitet/,very large-sized,not reported,1479,public,
35,Universität Zürich,Zürich,Switzerland,145,3,https://www.unirank.org/ch/uni/universitat-zurich/,large-sized,not reported,1833,public,
36,Université de Strasbourg,Strasbourg,France,148,1,https://www.unirank.org/fr/uni/universite-de-strasbourg/,very large-sized,not reported,1621,public,
37,Universiteit Gent,Ghent,Belgium,151,2,https://www.unirank.org/be/uni/universiteit-gent/,very large-sized,not available,1817,public,
38,Humboldt-Universität zu Berlin,Berlin,Germany,153,8,https://www.unirank.org/de/uni/humboldt-universitat-zu-berlin/,very large-sized,not reported,1809,public,
39,Rheinische Friedrich-Wilhelms-Universität Bonn,Bonn,Germany,155,9,https://www.unirank.org/de/uni/rheinische-friedrich-wilhelms-universitat-bonn/,large-sized,not reported,1818,public,
40,Ruhr-Universität Bochum,Bochum,Germany,159,10,https://www.unirank.org/de/uni/ruhr-universitat-bochum/,very large-sized,not reported,1962,public,
41,Norges teknisk-naturvitenskaplige universitet,Trondheim,Norway,160,2,https://www.unirank.org/no/uni/norges-teknisk-naturvitenskaplige-universitet/,very large-sized,not reported,1996,public,
42,Lunds Universitet,Lund,Sweden,163,1,https://www.unirank.org/se/uni/lunds-universitet/,large-sized,not reported,1666,public,
43,Universidad Complutense de Madrid,Madrid,Spain,165,2,https://www.unirank.org/es/uni/universidad-complutense-de-madrid/,very large-sized,moderately selective,1293,public,
44,Université de Genève,Geneva,Switzerland,166,4,https://www.unirank.org/ch/uni/universite-de-geneve/,large-sized,not reported,1835,public,
45,Karlsruher Institut für Technologie,Karlsruhe,Germany,168,11,https://www.unirank.org/de/uni/karlsruher-institut-fur-technologie/,large-sized,very selective,2009,public,
46,Universität zu Köln,Cologne,Germany,170,12,https://www.unirank.org/de/uni/universitat-zu-koln/,very large-sized,not reported,1388,public,
47,University of Nottingham,Nottingham,United Kingdom,172,14,https://www.unirank.org/gb/uni/university-of-nottingham/,very large-sized,not reported,1948,public,
48,Università degli Studi di Padova,Padua,Italy,173,2,https://www.unirank.org/it/uni/universita-degli-studi-di-padova/,very large-sized,not reported,1222,public,
49,The University of York,York,United Kingdom,175,15,https://www.unirank.org/gb/uni/the-university-of-york/,large-sized,not reported,1963,public,
50,Uppsala Universitet,Uppsala,Sweden,176,2,https://www.unirank.org/se/uni/uppsala-universitet/,large-sized,moderately selective,1477,public,
51,Eberhard Karls Universität Tübingen,Tübingen,Germany,177,13,https://www.unirank.org/de/uni/eberhard-karls-universitat-tubingen/,large-sized,not available,1477,public,
52,Goethe-Universität Frankfurt am Main,Frankfurt am Main,Germany,178,14,https://www.unirank.org/de/uni/goethe-universitat-frankfurt-am-main/,very large-sized,not available,1914,public,
53,Newcastle University,Newcastle upon Tyne,United Kingdom,179,16,https://www.unirank.org/gb/uni/newcastle-university/,large-sized,not reported,1963,public,
54,Aarhus Universitet,Aarhus,Denmark,181,2,https://www.unirank.org/dk/uni/aarhus-universitet/,large-sized,not reported,1928,public,
55,Kungliga Tekniska högskolan,Stockholm,Sweden,183,3,https://www.unirank.org/se/uni/kungliga-tekniska-hogskolan/,large-sized,averagely selective,1827,public,
56,University of Liverpool,Liverpool,United Kingdom,186,17,https://www.unirank.org/gb/uni/university-of-liverpool/,large-sized,not reported,1882,public,
57,Technische Universität Berlin,Berlin,Germany,188,15,https://www.unirank.org/de/uni/technische-universitat-berlin/,large-sized,not reported,1946,public,
58,University of St Andrews,St Andrews,United Kingdom,191,18,https://www.unirank.org/gb/uni/university-of-st-andrews/,medium-sized,not reported,1413,public,
59,Universidad Autónoma de Barcelona,Cerdanyola del Vallès,Spain,193,3,https://www.unirank.org/es/uni/universidad-autonoma-de-barcelona/,very large-sized,not reported,1968,public,
60,University of Exeter,Exeter,United Kingdom,195,19,https://www.unirank.org/gb/uni/university-of-exeter/,large-sized,not reported,1955,public,
61,Technische Universität Dresden,Dresden,Germany,196,16,https://www.unirank.org/de/uni/technische-universitat-dresden/,very large-sized,not reported,1828,public,
62,Tampereen yliopisto,Tampere,Finland,197,2,https://www.unirank.org/fi/uni/tampereen-yliopisto/,large-sized,extremely selective,1925,public,
63,Univerzita Karlova,Prague,Czech Republic,198,1,https://www.unirank.org/cz/uni/univerzita-karlova/,very large-sized,very selective,1348,public,
64,Durham University,Durham,United Kingdom,203,20,https://www.unirank.org/gb/uni/durham-university/,large-sized,not reported,1832,public,
65,Universidad de Granada,Granada,Spain,204,4,https://www.unirank.org/es/uni/universidad-de-granada/,very large-sized,not reported,1531,public,
66,Université de Liège,Liège,Belgium,206,3,https://www.unirank.org/be/uni/universite-de-liege/,large-sized,not available,1817,public,
67,Lancaster University,Lancaster,United Kingdom,207,21,https://www.unirank.org/gb/uni/lancaster-university/,large-sized,very selective,1964,public,
68,Technische Universität Wien,Vienna,Austria,208,2,https://www.unirank.org/at/uni/technische-universitat-wien/,large-sized,not reported,1872,public,
69,Politecnico di Milano,Milan,Italy,209,3,https://www.unirank.org/it/uni/politecnico-di-milano/,very large-sized,not reported,1863,public,
70,Westfälische Wilhelms-Universität Münster,Münster,Germany,211,17,https://www.unirank.org/de/uni/westfalische-wilhelms-universitat-munster/,large-sized,extremely selective,1780,public,
71,Universidad Politécnica de Madrid,Madrid,Spain,212,5,https://www.unirank.org/es/uni/universidad-politecnica-de-madrid/,very large-sized,not reported,1971,public,
72,Aalto-yliopisto,Espoo,Finland,213,3,https://www.unirank.org/fi/uni/aalto-yliopisto/,large-sized,extremely selective,2010,public,
73,National Research University Higher School of Economics,Moscow,Russia,215,1,https://www.unirank.org/ru/uni/national-research-university-higher-school-of-economics/,very large-sized,not reported,1992,public,
74,Université Catholique de Louvain,Louvain-la-Neuve,Belgium,217,4,https://www.unirank.org/be/uni/universite-catholique-de-louvain/,large-sized,not reported,1425,private,
75,Masarykova univerzita,Brno,Czech Republic,218,2,https://www.unirank.org/cz/uni/masarykova-univerzita/,very large-sized,very selective,1919,public,
76,Vrije Universiteit Amsterdam,Amsterdam,Netherlands,219,6,https://www.unirank.org/nl/uni/vrije-universiteit-amsterdam/,large-sized,not reported,1880,private,
